Country,Year,Product,Value,total emissions CO2 (KgCo2),Energy Type,consumption (GWh),iso_alpha
United States,2023,Geothermal,1366.4892,51926.5896,,,
United States,2023,Solar,11786.5927,565756.4495999999,Solar,624803.3,USA
United States,2023,Not Specified,186.9373,,,,
United States,2023,Wind,38211.2476,439429.3474,Wind,1115775.5,USA
Argentina,2023,Nuclear,1086.7583,13041.0996,Nuclear,22342.176,ARG
Argentina,2023,Hydro,4069.93,97678.32,Hydro,77665.40000000001,ARG
Argentina,2023,Coal-Peat and Manufactured Gases,2.283,1872.06,Coal-Peat and Manufactured Gases,12793.747,ARG
Argentina,2023,Oil and Petroleum Products,286.9277,206587.944,Oil and Petroleum Products,391435.18,ARG
Argentina,2023,Natural Gas,4810.859,2357320.91,Natural Gas,449364.0,ARG
Argentina,2023,Combustible Renewables,184.9089,42529.047,,,
Argentina,2023,Solar,371.4694,17830.531199999998,Solar,8501.062,ARG
Argentina,2023,Wind,1214.143,13962.6445,Wind,37602.26,ARG
Brazil,2023,Nuclear,1171.5583,14058.6996,Nuclear,36169.163,BRA
Brazil,2023,Hydro,36674.4697,880187.2728,Hydro,1113496.1,BRA
Brazil,2023,Coal-Peat and Manufactured Gases,1128.0861,925030.602,Coal-Peat and Manufactured Gases,159093.75,BRA
Brazil,2023,Oil and Petroleum Products,1125.1578,810113.616,Oil and Petroleum Products,1418943.0999999999,BRA
Brazil,2023,Natural Gas,5208.9732,2552396.868,Natural Gas,299879.82,BRA
Brazil,2023,Combustible Renewables,3222.8893,741264.539,,,
Brazil,2023,Other Combustible Non-Renewables,89.1814,73128.748,,,
Brazil,2023,Solar,5095.5488,244586.34239999996,Solar,133733.1,BRA
Brazil,2023,Wind,8178.0686,94047.78889999999,Wind,248099.93,BRA
Bulgaria,2023,Nuclear,1504.651,18055.812,Nuclear,40320.02,BGR
Bulgaria,2023,Hydro,201.0661,4825.5864,Hydro,8131.375999999999,BGR
Bulgaria,2023,Coal-Peat and Manufactured Gases,1039.099,852061.18,Coal-Peat and Manufactured Gases,44571.636,BGR
