Country,Balance,Product,Value,Unit,Year
Luxembourg,Net Electricity Production,Electricity,228.9043,GWh,2024
Luxembourg,Net Electricity Production,Total Combustible Fuels,58.2222,GWh,2024
Luxembourg,Net Electricity Production,Hydro,117.3141,GWh,2024
Luxembourg,Net Electricity Production,Natural Gas,5.8091,GWh,2024
Luxembourg,Net Electricity Production,Combustible Renewables,45.6045,GWh,2024
Luxembourg,Net Electricity Production,Other Combustible Non-Renewables,6.8086,GWh,2024
Luxembourg,Net Electricity Production,Solar,18.0361,GWh,2024
Luxembourg,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',216.2866,GWh,2024
Luxembourg,Total Imports,Electricity,555.3152,GWh,2024
Luxembourg,Total Exports,Electricity,74.278,GWh,2024
Luxembourg,Used for pumped storage,Electricity,134.8314,GWh,2024
Luxembourg,Distribution Losses,Electricity,13.8539,GWh,2024
Luxembourg,Final Consumption (Calculated),Electricity,561.2561,GWh,2024
Luxembourg,Net Electricity Production,Wind,35.3319,GWh,2024
Mexico,Net Electricity Production,Electricity,26585.2032,GWh,2024
Mexico,Net Electricity Production,Nuclear,1089.581,GWh,2024
Mexico,Net Electricity Production,Total Combustible Fuels,18934.4207,GWh,2024
Mexico,Net Electricity Production,Hydro,2066.3592,GWh,2024
Mexico,Net Electricity Production,Coal-Peat and Manufactured Gases,1446.5444,GWh,2024
Mexico,Net Electricity Production,Oil and Petroleum Products,1695.5868,GWh,2024
Mexico,Net Electricity Production,Natural Gas,15741.1455,GWh,2024
Mexico,Net Electricity Production,Combustible Renewables,35.9271,GWh,2024
Mexico,Net Electricity Production,Geothermal,240.2748,GWh,2024
Mexico,Net Electricity Production,Other Combustible Non-Renewables,15.2168,GWh,2024
Mexico,Net Electricity Production,Solar,1324.5629,GWh,2024
Mexico,Net Electricity Production,Not Specified,1241.6045,GWh,2024
Mexico,Net Electricity Production,'Total Renewables (Hydro_Geo_Solar_Wind_Other)',5355.524,GWh,2024
Mexico,Total Imports,Electricity,129.0842,GWh,2024
Mexico,Total Exports,Electricity,252.3782,GWh,2024
Mexico,Distribution Losses,Electricity,3286.9596,GWh,2024
Mexico,Final Consumption (Calculated),Electricity,23174.9496,GWh,2024
Mexico,Net Electricity Production,Wind,1688.4,GWh,2024
Netherlands,Net Electricity Production,Electricity,11226.0123,GWh,2024
Netherlands,Net Electricity Production,Nuclear,347.285,GWh,2024
Netherlands,Net Electricity Production,Total Combustible Fuels,7422.233,GWh,2024
Netherlands,Net Electricity Production,Hydro,3.2931,GWh,2024
Netherlands,Net Electricity Production,Coal-Peat and Manufactured Gases,1380.1265,GWh,2024
Netherlands,Net Electricity Production,Oil and Petroleum Products,105.7218,GWh,2024
Netherlands,Net Electricity Production,Natural Gas,4879.7773,GWh,2024
